"id","prolific_pid","session_id","modulo","uuid"
1,"5df2bfu3t1njcjhdyt3u1a3b3","03qnjitjscr3",5,"2b9761a8-a245-458e-979b-6ea35ae077c5"
2,"null","null",76,"11b555fd-0ef4-4fe5-85e7-60f379eb9b93"
3,"null","null",76,"11b555fd-0ef4-4fe5-85e7-60f379eb9b93"
4,"null","null",8,"69211f19-11c5-416c-9f44-eafde9ecdd02"
5,"null","null",74,"0c4b1507-9e0b-4cd9-ba37-da9dbc350557"
6,"null","null",66,"3fdef7d9-e9a4-4980-8f15-95306cd22ee1"
7,"null","null",74,"0c4b1507-9e0b-4cd9-ba37-da9dbc350557"
8,"null","null",23,"5d1d2454-0fb7-4d64-acf0-0fe20f5eb745"
9,"null","null",28,"a808e290-cd8b-484c-b362-18d0f155d01c"
10,"null","null",73,"7eb6e3a6-9bdb-4e6d-882d-dc66d1dfb586"
11,"null","null",83,"b81ef12b-dcf6-4b89-a2d6-e2b551d62007"
12,"5df2708f2e472517f708a3b3","0t771xllbwz",53,"0e4cf0a7-53a6-42b0-b413-1823b31c106c"
13,"null","null",6,"9f28f8ef-82b0-47da-bf3a-6ab58f43cc8e"
14,"null","null",85,"40c6b63f-8349-446d-b8db-2890f8b8996e"
15,"null","null",42,"f16da8b5-c751-4ab1-8bd8-196e93482d15"
16,"null","null",46,"029c5c8c-e9fb-45fc-959c-e41fd20e6cb1"
17,"null","null",60,"47417976-4707-482e-a3a0-524cdec42616"
18,"null","null",11,"21ae5978-31e8-4eea-a61b-4a06060c6e52"
19,"5df2708f2e4826367f708a3b3","null",63,"50d8faea-f488-4632-9f61-c89becec97e7"
20,"null","null",43,"ef86154f-64b1-435f-8a93-3496972becef"
21,"null","null",35,"9a52aaec-d26e-4357-8347-fe12b11bb321"
22,"null","null",35,"9a52aaec-d26e-4357-8347-fe12b11bb321"
23,"5dc5d66cfd08d4451464d169","0k1qmxjqh5mi",4,"cce7dfdd-c341-4e33-b8bf-37ebe2bb5e13"
24,"5dc5d66cfd08d4451464d169","06mocqs8qmx",99,"ac64b93d-5637-47a9-83f9-4c5b5c588315"
25,"null","null",81,"5f2b5c44-9e1a-40d4-a534-6ee8758b195a"
26,"5dc5d66cfd08d4451464d169","0t9k8kmirm0h",13,"36df1bb5-330a-4509-adde-93a42ce199dc"
27,"5dc5d66cfd08d4451464d169","0hxz6712lw2h",9,"8b836c8f-6a23-4531-ae1d-9894b5056ffe"
28,"5dc5d66cfd08d4451464d169","0hxz6712lw2h",9,"8b836c8f-6a23-4531-ae1d-9894b5056ffe"
29,"null","null",24,"ea5fd04e-35ce-4ca5-a57c-22748fd3fad8"
30,"null","null",18,"d3b5cd03-a528-4989-b3eb-b6395a3aa327"
31,"null","null",18,"d3b5cd03-a528-4989-b3eb-b6395a3aa327"
32,"null","null",39,"3653f5d6-0e2c-47d6-954c-b85f34182ea8"
33,"null","null",35,"08a94860-e633-4376-aafe-af3560eed4d4"
34,"null","null",20,"383d59ba-38a6-40cb-87de-d548e40d3046"
35,"5dc5d66cfd08d4451464d169","0c1j4pn3ckoc",78,"22d21a19-4da9-4cc0-a47b-ee3228aac44e"
36,"null","null",14,"29be0c95-1682-4386-9114-8e596c729114"
37,"5dc5d66cfd08d4451464d169","0cr57ddf92tj",37,"d47dc891-e0b0-4a08-9e58-8f84c1dfe846"
38,"null","null",74,"d4e9528f-a452-47ae-a82a-9e3c73f3b77f"
39,"null","null",73,"921f5121-1d36-4a9d-9825-49d964219ff9"
40,"null","null",8,"96fee10a-7418-4eb4-a642-270b1584f9a1"
41,"5dc5d66cfd08d4451464d169","0d9lslapqn3j",66,"ee433966-595e-4510-a103-17d59f4eaa13"
42,"null","null",39,"df0b79da-3a3c-451d-9280-136aa88eefef"
43,"null","null",22,"6f24c577-cb2b-43ae-be5c-e9f163b6187d"
44,"5dc5d66cfd08d4451464d169","0l8dulpjwv7g",70,"52e1917f-66a5-4317-b54e-94118dc325a4"
45,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda",13,"e60ce7a4-c4af-413c-ad9d-c8950a7200b1"
46,"5e3d59338f20d3000a34aeb9","5e3ed19e3f87b912b52dc3ad",78,"ffd9d219-2192-4210-af12-a5569cffad58"
47,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333",87,"fdbcf672-9ce9-45a2-8ac7-4662d56e518e"
48,"5d1d5027558790001a6d4dea","5e3f645e9dd8051c1a6f9342",40,"f1ae91d0-7803-4cd4-b022-e894755731ca"
49,"5dd33261fce6063503a61fd2","5e3f64584425131c4df331b7",9,"1c00ae6c-683e-4e78-a87d-4b8202bb6782"
50,"5ba2877a7590cc0001b50d0f","5e3f645b26325d1c952ae854",46,"48729048-2785-42b0-8125-db3605d2f53d"
51,"5dc1d03762ec50143144ac3f","5e3f646781d99c1c0b45cf27",96,"41c109c5-bd5b-4fcf-8a26-9edc7e3cdcd3"
52,"5c66e2f32eacb200019ee394","5e3f645a4a6a7f1c24d838c1",85,"606db3c1-f806-43d1-9c47-ff106c759c45"
53,"5e1cd99cbd738506c007f1a2","5e3f646efb9ed51ca22e61df",57,"bd345947-5beb-43de-a034-a9d699c415ba"
54,"5ddcfdd0322886c4fc2feff4","5e3f6461aa43091bde264096",30,"9370a620-dd34-4a68-b186-6d078a79bf63"
55,"5c994ca30225a000167bd288","5e3f645ed960941c34413b11",8,"7130ed3f-e715-4b9c-8695-37135890d799"
56,"5e39b4e8eed08202335f88bb","5e3f6464ce52251bf065935e",11,"2ee025d7-8aa1-4352-8905-8313fa926d90"
57,"5d423b7706811e001ada5b08","5e3f6469fce14d1c41837c87",48,"8cc99d7d-0c15-460b-8f21-5a103ff0b80e"
58,"5a95694a4eecca0001dd4721","5e3f646111f2e11c2b6ec11d",21,"8df77cd6-477e-49d0-88df-0492c973b30e"
59,"5a5e8efcac562400015424ba","5e3f6461194a561c8bdb8a43",59,"0342430d-53c1-41b8-a920-3ba8b1327246"
60,"5cb5d78329f6ff00167f5e24","5e3f64799cfe9b1c6d840626",21,"78946051-fc63-4bb4-aa6f-db666c04c3cc"
61,"5d6a5a33c5508e001bb4844c","5e3f6479efb86e1c939f60ba",5,"77a83b2d-f9b2-4d99-ac87-8e97f3cb4f08"
62,"53981858fdf99b1ccc3f12d9","5e3f646b23323f1b93ea8062",39,"1491fb27-09be-4d90-ae01-ea4d707a1aa9"
63,"5d1e47055538e6001a842e3b","5e3f645423323f1c3c7463b4",77,"ed55351a-da8e-49c2-9d2d-8b154e4ce865"
64,"5e15a5f7082675b7e19b2bbc","5e3f6463280cae1c6f6f6c7b",30,"ecb25494-a20f-491c-a7ac-360ba84fa7e8"
65,"5bdc96a7ba6cc10001854ac8","5e3f647852ab501c370cc82e",94,"bc9ec370-f09d-4f34-a48c-83f69a5fc134"
66,"5de301515253b03390043d12","5e3f6473efb86e1c939f60b9",80,"1cf8c71f-78aa-42e3-a35d-3c4ee9eec98e"
67,"5dbee94de0a6e839b5a23898","5e3f647819a5ea1c3bf2e5fa",84,"99e5c85d-7ddb-41c6-8ad8-441df7541238"
68,"5e11dc944fa02a86c7ac97fc","5e3f647c6e80301c453bc782",13,"27c206d5-bf35-4d35-b261-478fc5a9d056"
69,"5dec6a96da522335df62a1b5","5e3f645c3fc9101c0a3d8758",12,"a921f158-1567-4413-9612-c52c0e64a833"
70,"5c8af558d551550019d44308","5e3f64fdaa21c61c60bdf416",45,"a92e6bee-60dd-483e-be0b-7f0a9767d906"
71,"5c44b3fe1bbffd0001014286","5e3f647ec10d051c176daec4",35,"fb876031-e912-4eaa-869a-59142b485434"
72,"5e1cd99cbd738506c007f1a2","5e3f646efb9ed51ca22e61df",26,"13075581-7dbe-4ae0-bc25-8223e74d76bd"
73,"5d6394518df2870001a74b42","5e3f6474ff26bb1c3edd7c68",24,"62b812f6-56ff-418e-9c6d-a88525290313"
74,"5ddbf093c5fa30b39100b0fa","5e3f665f2ee93c1bb2f9746d",22,"053cf81f-e34d-4e12-b7ff-31dd99c3c91c"
75,"5c9b11249cd82b00174fd7ad","5e3f64597b9cc21c318b62a8",95,"adb6e507-39c5-4195-a128-4e88aa162d52"
76,"5aeacc45d9f2be00019341ae","5e3f66afd960941c8cfc0d5e",64,"22acb7a0-190c-4d9f-98db-6a957d45f392"
77,"58d9a79c33fef3000118abdf","5e3f67178dd3cf1ca62c14a0",50,"cee57c4c-cb61-45b4-91bf-ababb5e7c267"
78,"5defe76ec33cea000b6cb8e1","5e3f6466f09a9f1c6057268b",58,"d4e39b6c-8244-4f2f-a2ba-3a6f5a216a67"
79,"5def263d8def535cf50388ea","5e3f6458f2160b1c566554ef",28,"e12e0d49-1c7e-4b79-9d0d-327ef1431541"
80,"5c9b11249cd82b00174fd7ad","5e3f64597b9cc21c318b62a8",88,"45f5d0be-78f5-4cda-9339-c5908d8fce1e"
81,"5ce1c41efd11c100182600e5","5e3f696af8f4241c39704f87",83,"593c26a1-8265-4359-b70d-9d5a8daccf82"
82,"5be36be211870100014e3a10","5e3f696809a1141d0e3e447b",43,"0a9dd134-98a0-4e0c-a44d-572757f38c15"
83,"5c28cac3867f660001ae9c4a","5e3f69c3fac6271ca6539a13",74,"14c78c35-d018-4fb1-9f64-b34d1a1a611a"
84,"5e276413061ea89a4e2a03f6","5e3f6b3db484a81cf8547c12",76,"fbb87fd1-e077-443d-a9d0-3307994fcd29"
85,"5d55b07784e15000179c034e","5e3f80464a6a7f1e340d02e7",60,"0ea42532-5555-428a-85a2-0ff63df19547"
86,"5bf3761862e1bc0001f15cb2","5e3f804226325d1df7a1aae5",82,"bfef7de0-ad2c-4c25-a7d8-f8cfa3bea195"
